Latitude,Longitude,Air temperature,Relative humidity,Daily solar radiation - horizontal,Atmospheric pressure,Earth temperature,Heating degree-days,Cooling degree-days,Elevation,Heating design temperature,Cooling design temperature,Earth temperature amplitude,Frost days at site,Monthly Wind power density,Air Density
26.397,72.479,16.3,38.30%,3.93,99,18.3,55,207,226,10.57,36.48,21.4,0,32,1.191
26.397,72.479,18.7,32.70%,4.53,98.8,21.5,21,253,226,10.57,36.48,21.4,0,43,1.174
26.397,72.479,24.7,25.60%,5.34,98.4,28.8,0,454,226,10.57,36.48,21.4,0,69,1.146
26.397,72.479,29.1,28.20%,6.18,98.1,34.1,0,566,226,10.57,36.48,21.4,0,64,1.119
26.397,72.479,31.6,36.60%,6.65,97.7,36.1,0,667,226,10.57,36.48,21.4,0,156,1.102
26.397,72.479,31.1,54.70%,6.46,97.3,34.6,0,631,226,10.57,36.48,21.4,0,221,1.098
26.397,72.479,29.6,67.40%,5.61,97.3,32.6,0,607,226,10.57,36.48,21.4,0,61,1.106
26.397,72.479,28.7,69.70%,5.22,97.6,31.3,0,579,226,10.57,36.48,21.4,0,47,1.114
26.397,72.479,28.8,56.40%,5.27,98,32,0,565,226,10.57,36.48,21.4,0,37,1.12
26.397,72.479,27.3,34.70%,4.67,98.4,30.5,0,540,226,10.57,36.48,21.4,0,11,1.132
26.397,72.479,22.7,29.40%,4.06,98.8,24.9,0,393,226,10.57,36.48,21.4,0,24,1.16
26.083,71.783,16.2,36.40%,3.91,99.5,18,54,207,187,10.13,36.91,21.43,0,38,1.199
26.083,71.783,18.6,31.00%,4.59,99.2,21.1,21,252,187,10.13,36.91,21.43,0,47,1.181
26.083,71.783,24.4,25.10%,5.33,98.9,28.2,0,449,187,10.13,36.91,21.43,0,86,1.153
26.083,71.783,28.8,28.50%,6.21,98.5,33.4,0,560,187,10.13,36.91,21.43,0,82,1.129
26.083,71.783,31.5,37.10%,6.67,98.1,35.9,0,665,187,10.13,36.91,21.43,0,199,1.11
26.083,71.783,31.3,53.30%,6.62,97.8,35.1,0,641,187,10.13,36.91,21.43,0,372,1.106
26.083,71.783,30,65.60%,5.81,97.8,33.1,0,620,187,10.13,36.91,21.43,0,169,1.113
26.083,71.783,29,68.20%,5.47,98,31.8,0,590,187,10.13,36.91,21.43,0,143,1.121
26.083,71.783,29,54.90%,5.36,98.4,32.4,0,573,187,10.13,36.91,21.43,0,108,1.127
26.083,71.783,27.5,33.20%,4.66,98.9,30.5,0,546,187,10.13,36.91,21.43,0,15,1.138
26.083,71.783,18.1,32.90%,3.56,99.5,19.6,22,270,187,10.13,36.91,21.43,0,24,1.193
26.799,71.066,16.2,36.40%,3.91,99.5,18,54,207,187,10.13,36.91,21.43,0,21,1.174
26.799,71.066,18.6,31.00%,4.59,99.2,21.1,21,252,187,10.13,36.91,21.43,0,30,1.158
26.799,71.066,24.4,25.10%,5.33,98.9,28.2,0,449,187,10.13,36.91,21.43,0,36,1.13
26.799,71.066,28.8,28.50%,6.21,98.5,33.4,0,560,187,10.13,36.91,21.43,0,65,1.117
26.799,71.066,31.5,37.10%,6.67,98.1,35.9,0,665,187,10.13,36.91,21.43,0,136,1.099
26.799,71.066,31.3,53.30%,6.62,97.8,35.1,0,641,187,10.13,36.91,21.43,0,266,1.107
26.799,71.066,30,65.60%,5.81,97.8,33.1,0,620,187,10.13,36.91,21.43,0,147,1.114
26.799,71.066,29,68.20%,5.47,98,31.8,0,590,187,10.13,36.91,21.43,0,75,1.12
26.799,71.066,29,54.90%,5.36,98.4,32.4,0,573,187,10.13,36.91,21.43,0,39,1.121
26.799,71.066,27.5,33.20%,4.66,98.9,30.5,0,546,187,10.13,36.91,21.43,0,41,1.119
26.799,71.066,18.1,32.90%,3.56,99.5,19.6,22,270,187,10.13,36.91,21.43,0,19,1.166
26.372,71.188,16.2,36.40%,3.91,99.5,18,54,207,187,10.13,36.91,21.43,0,44,1.197
26.372,71.188,18.6,31.00%,4.59,99.2,21.1,21,252,187,10.13,36.91,21.43,0,48,1.178
26.372,71.188,24.4,25.10%,5.33,98.9,28.2,0,449,187,10.13,36.91,21.43,0,51,1.15
26.372,71.188,28.8,28.50%,6.21,98.5,33.4,0,560,187,10.13,36.91,21.43,0,98,1.126
26.372,71.188,31.5,37.10%,6.67,98.1,35.9,0,665,187,10.13,36.91,21.43,0,210,1.129
26.372,71.188,31.3,53.30%,6.62,97.8,35.1,0,641,187,10.13,36.91,21.43,0,214,1.103
26.372,71.188,30,65.60%,5.81,97.8,33.1,0,620,187,10.13,36.91,21.43,0,256,1.111
26.372,71.188,29,68.20%,5.47,98,31.8,0,590,187,10.13,36.91,21.43,0,100,1.119
26.372,71.188,29,54.90%,5.36,98.4,32.4,0,573,187,10.13,36.91,21.43,0,57,1.125
26.372,71.188,22.7,28.10%,3.95,99.3,24.7,0,395,187,10.13,36.91,21.43,0,13,1.165
26.372,71.188,18.1,32.90%,3.56,99.5,19.6,22,270,187,10.13,36.91,21.43,0,23,1.191
23.242,s,21.7,35.40%,4.24,101.2,23.9,0,363,29,17.09,34.78,14.75,0,36,1.208
23.242,69.667,23.3,36.40%,4.95,101,26.2,0,376,29,17.09,34.78,14.75,0,45,1.194
23.242,69.667,27,39.60%,5.67,100.8,30.7,0,528,29,17.09,34.78,14.75,0,49,1.17
23.242,69.667,29.1,46.30%,6.31,100.5,33.4,0,582,29,17.09,34.78,14.75,0,63,1.152
23.242,69.667,30.2,56.20%,6.47,100.1,33.9,0,636,29,17.09,34.78,14.75,0,230,1.14
23.242,69.667,29.9,66.60%,6.18,99.7,33,0,605,29,17.09,34.78,14.75,0,181,1.136
23.242,69.667,28.8,73.80%,5.24,99.7,31,0,587,29,17.09,34.78,14.75,0,192,1.144
23.242,69.667,28.1,73.50%,4.96,99.9,30.3,0,566,29,17.09,34.78,14.75,0,112,1.151
23.242,69.667,28.6,63.50%,5.28,100.3,31.7,0,563,29,17.09,34.78,14.75,0,86,1.155
23.242,69.667,23.5,33.20%,3.99,101.2,25.2,0,420,29,17.09,34.78,14.75,0,25,1.202
22.3,72.62,22.8,33.00%,4.65,100.5,25.1,0,398,76,17.13,37.52,20.01,0,31,1.186
22.3,72.62,24.7,29.00%,5.28,100.4,28.1,0,410,76,17.13,37.52,20.01,0,38,1.174
22.3,72.62,29.4,25.60%,6.14,100.1,34.2,0,588,76,17.13,37.52,20.01,0,71,1.154
22.3,72.62,32.1,29.30%,6.61,99.8,38.2,0,652,76,17.13,37.52,20.01,0,132,1.137
22.3,72.62,32.6,41.40%,6.63,99.6,38.3,0,697,76,17.13,37.52,20.01,0,131,1.124
22.3,72.62,30.2,63.90%,5.7,99.3,33.6,0,605,76,17.13,37.52,20.01,0,264,1.122
22.3,72.62,28,77.00%,4.52,99.3,29.6,0,555,76,17.13,37.52,20.01,0,202,1.133
22.3,72.62,27.7,74.60%,4.42,99.5,29.3,0,545,76,17.13,37.52,20.01,0,130,1.139
22.3,72.62,28.8,62.00%,5.11,99.8,31.3,0,562,76,17.13,37.52,20.01,0,59,1.142
22.3,72.62,29.4,41.00%,5.21,100.1,32.1,0,598,76,17.13,37.52,20.01,0,29,1.146
21.9,69.316,23.5,46.10%,5.27,101.1,25,0,414,28,20.17,30.87,6.19,0,38,1.199
21.9,69.316,23.8,50.80%,6.18,101,25.7,0,388,28,20.17,30.87,6.19,0,39,1.191
21.9,69.316,25.4,57.70%,6.92,100.8,27.8,0,480,28,20.17,30.87,6.19,0,41,1.177
21.9,69.316,27.1,62.10%,7.5,100.6,29.7,0,516,28,20.17,30.87,6.19,0,43,1.164
21.9,69.316,28.3,68.80%,7.45,100.3,30.3,0,570,28,20.17,30.87,6.19,0,67,1.156
21.9,69.316,28.6,75.20%,6.42,99.9,30.2,0,559,28,20.17,30.87,6.19,0,117,1.15
21.9,69.316,27.9,79.20%,5.37,99.9,28.8,0,556,28,20.17,30.87,6.19,0,149,1.154
21.9,69.316,27.2,79.40%,5.4,100.1,28.1,0,533,28,20.17,30.87,6.19,0,87,1.16
21.9,69.316,27.6,48.10%,5.32,101,28.4,0,526,28,20.17,30.87,6.19,0,44,1.175
